created_at,entry_id,field1,field2
2025-06-26 21:35:33 UTC,1,2025-06-27 00:09:32,4.1757812
2025-06-26 21:36:02 UTC,2,2025-06-27 00:29:15,4.1757812
2025-06-26 22:06:03 UTC,3,2025-06-27 00:39:06,4.172
2025-06-26 22:06:32 UTC,4,2025-06-27 00:58:48,4.176
2025-06-26 22:36:32 UTC,5,2025-06-27 01:08:39,4.176
2025-06-26 22:37:01 UTC,6,2025-06-27 01:28:20,4.176
2025-06-26 23:07:05 UTC,7,2025-06-27 01:38:12,4.176
2025-06-26 23:07:34 UTC,8,2025-06-27 01:57:54,4.176
2025-06-26 23:37:34 UTC,9,2025-06-27 02:07:45,4.176
2025-06-26 23:38:03 UTC,10,2025-06-27 02:27:27,4.172
2025-06-27 00:08:08 UTC,11,2025-06-27 02:47:11,4.172
2025-06-27 00:08:37 UTC,12,2025-06-27 03:06:52,4.168
2025-06-27 00:38:42 UTC,13,2025-06-27 03:16:44,4.172
2025-06-27 00:39:11 UTC,14,2025-06-27 03:36:26,4.172
2025-06-27 01:09:13 UTC,15,2025-06-27 03:46:16,4.168
2025-06-27 01:09:42 UTC,16,2025-06-27 04:05:59,4.168
2025-06-27 01:39:44 UTC,17,2025-06-27 04:15:49,4.168
2025-06-27 01:40:13 UTC,18,2025-06-27 04:35:32,4.168
2025-06-27 02:10:13 UTC,19,2025-06-27 04:45:24,4.168
2025-06-27 02:10:42 UTC,20,2025-06-27 05:05:07,4.168
2025-06-27 02:40:44 UTC,21,2025-06-27 05:14:57,4.164
2025-06-27 02:41:13 UTC,22,2025-06-27 05:34:40,4.164
2025-06-27 03:11:14 UTC,23,2025-06-27 05:44:32,4.164
2025-06-27 03:11:43 UTC,24,2025-06-27 06:04:15,4.164
2025-06-27 03:41:43 UTC,25,2025-06-27 06:14:06,4.164
2025-06-27 03:42:12 UTC,26,2025-06-27 06:33:48,4.164
2025-06-27 04:12:17 UTC,27,2025-06-27 06:43:39,4.172
2025-06-27 04:12:45 UTC,28,2025-06-27 07:03:20,4.195
2025-06-27 06:45:07 UTC,29,2025-06-27 07:13:12,4.203
2025-06-27 06:45:36 UTC,30,2025-06-27 07:32:55,4.281
2025-06-27 06:46:05 UTC,31,2025-06-27 07:52:36,4.32
2025-06-27 06:46:33 UTC,32,2025-06-27 08:12:20,4.32
2025-06-27 06:47:02 UTC,33,2025-06-27 08:32:04,4.32
2025-06-27 06:47:31 UTC,34,2025-06-27 08:51:46,4.32
2025-06-27 06:48:00 UTC,35,2025-06-27 09:11:28,4.324
2025-06-27 06:48:28 UTC,36,2025-06-27 09:31:12,4.324
2025-06-27 07:15:39 UTC,37,2025-06-27 09:50:54,4.32
2025-06-27 07:16:07 UTC,38,2025-06-27 10:10:36,4.316
2025-06-27 07:46:08 UTC,39,2025-06-27 10:20:28,4.316
2025-06-27 07:46:37 UTC,40,2025-06-27 10:40:11,4.32
2025-06-27 08:16:39 UTC,41,2025-06-27 10:50:02,4.32
2025-06-27 08:17:07 UTC,42,2025-06-27 11:09:44,4.418
2025-06-27 08:47:14 UTC,43,2025-06-27 11:19:36,4.414
2025-06-27 08:47:43 UTC,44,2025-06-27 11:39:19,4.418
2025-06-27 09:17:46 UTC,45,2025-06-27 11:49:10,4.418
2025-06-27 09:18:15 UTC,46,2025-06-27 12:08:52,4.418
2025-06-27 09:48:29 UTC,47,2025-06-27 12:18:42,4.418
2025-06-27 09:48:58 UTC,48,2025-06-27 12:38:25,4.418
2025-06-27 10:19:01 UTC,49,2025-06-27 12:58:07,4.422
2025-06-27 10:19:30 UTC,50,2025-06-27 13:17:49,4.418
2025-06-27 10:49:32 UTC,51,2025-06-27 13:27:40,4.418
2025-06-27 10:50:00 UTC,52,2025-06-27 13:47:22,4.352
2025-06-27 11:20:02 UTC,53,2025-06-27 13:57:12,4.32
2025-06-27 11:20:30 UTC,54,2025-06-27 14:16:55,4.316
2025-06-27 11:50:33 UTC,55,2025-06-27 14:26:45,4.316
2025-06-27 11:51:02 UTC,56,2025-06-27 14:46:28,4.32
2025-06-27 12:21:03 UTC,57,2025-06-27 14:56:20,4.32
2025-06-27 12:21:32 UTC,58,2025-06-27 15:16:03,4.32
2025-06-27 12:51:33 UTC,59,2025-06-27 15:25:53,4.32
2025-06-27 12:52:01 UTC,60,2025-06-27 15:45:36,4.32
2025-06-27 13:22:03 UTC,61,2025-06-27 15:55:28,4.316
2025-06-27 13:22:32 UTC,62,2025-06-27 16:15:11,4.316
2025-06-27 13:52:33 UTC,63,2025-06-27 16:25:02,4.32
2025-06-27 13:53:02 UTC,64,2025-06-27 16:44:44,4.32
2025-06-27 14:23:03 UTC,65,2025-06-27 16:54:34,4.32
2025-06-27 14:23:31 UTC,66,2025-06-27 17:14:17,4.32
2025-06-27 16:56:15 UTC,67,2025-06-27 17:24:07,4.32
2025-06-27 16:56:44 UTC,68,2025-06-27 17:43:50,4.32
2025-06-27 16:57:13 UTC,69,2025-06-27 18:03:32,4.324
2025-06-27 16:57:42 UTC,70,2025-06-27 18:23:16,4.324
2025-06-27 16:58:10 UTC,71,2025-06-27 18:42:59,4.281
2025-06-27 16:58:39 UTC,72,2025-06-27 19:02:41,4.203
2025-06-27 16:59:08 UTC,73,2025-06-27 19:22:24,4.199
2025-06-27 16:59:37 UTC,74,2025-06-27 19:42:06,4.199
2025-06-27 17:26:47 UTC,75,2025-06-27 20:01:48,4.199
2025-06-27 17:27:16 UTC,76,2025-06-27 20:21:31,4.191
2025-06-27 17:57:18 UTC,77,2025-06-27 20:31:21,4.191
2025-06-27 17:57:47 UTC,78,2025-06-27 20:51:04,4.191
2025-06-27 18:27:48 UTC,79,2025-06-27 21:00:56,4.188
2025-06-27 18:28:17 UTC,80,2025-06-27 21:20:39,4.188
2025-06-27 18:58:18 UTC,81,2025-06-27 21:30:30,4.191
2025-06-27 18:58:46 UTC,82,2025-06-27 21:50:12,4.191
2025-06-27 19:28:47 UTC,83,2025-06-27 22:00:02,4.188
2025-06-27 19:29:16 UTC,84,2025-06-27 22:19:45,4.188
2025-06-27 20:00:21 UTC,85,2025-06-27 22:29:36,4.188
2025-06-27 20:00:50 UTC,86,2025-06-27 22:49:18,4.188
2025-06-27 20:30:51 UTC,87,2025-06-27 23:09:00,4.184
2025-06-27 20:31:20 UTC,88,2025-06-27 23:28:42,4.184
2025-06-27 21:01:21 UTC,89,2025-06-27 23:38:32,4.184
2025-06-27 21:01:50 UTC,90,2025-06-27 23:58:15,4.184
2025-06-27 21:31:53 UTC,91,2025-06-28 00:08:05,4.184
2025-06-27 21:32:21 UTC,92,2025-06-28 00:27:48,4.184
2025-06-27 22:02:23 UTC,93,2025-06-28 00:37:40,4.184
2025-06-27 22:02:52 UTC,94,2025-06-28 00:57:23,4.18
2025-06-27 22:32:53 UTC,95,2025-06-28 01:07:13,4.18
2025-06-27 22:33:22 UTC,96,2025-06-28 01:26:56,4.18
2025-06-27 23:03:23 UTC,97,2025-06-28 01:36:48,4.18
2025-06-27 23:03:52 UTC,98,2025-06-28 01:56:31,4.18
2025-06-27 23:34:41 UTC,99,2025-06-28 02:06:22,4.176
2025-06-27 23:35:10 UTC,100,2025-06-28 02:26:04,4.176
2025-06-28 00:05:48 UTC,101,2025-06-28 02:35:56,4.176
2025-06-28 00:06:16 UTC,102,2025-06-28 02:55:39,4.176
2025-06-28 00:36:49 UTC,103,2025-06-28 03:15:20,4.172
2025-06-28 00:37:18 UTC,104,2025-06-28 03:35:03,4.176
2025-06-28 01:07:57 UTC,105,2025-06-28 03:44:54,4.176
2025-06-28 01:08:25 UTC,106,2025-06-28 04:04:36,4.172
2025-06-28 01:38:37 UTC,107,2025-06-28 04:14:26,4.172
2025-06-28 01:39:05 UTC,108,2025-06-28 04:34:09,4.172
2025-06-28 02:09:06 UTC,109,2025-06-28 04:44:00,4.172
2025-06-28 02:09:35 UTC,110,2025-06-28 05:03:43,4.172
2025-06-28 02:39:37 UTC,111,2025-06-28 05:13:33,4.172
2025-06-28 02:40:06 UTC,112,2025-06-28 05:33:16,4.168
2025-06-28 03:10:08 UTC,113,2025-06-28 05:43:08,4.168
2025-06-28 03:10:36 UTC,114,2025-06-28 06:02:51,4.168
2025-06-28 05:43:05 UTC,115,2025-06-28 06:12:42,4.168
2025-06-28 05:43:33 UTC,116,2025-06-28 06:32:24,4.168
2025-06-28 05:44:02 UTC,117,2025-06-28 06:52:06,4.234
2025-06-28 05:44:31 UTC,118,2025-06-28 07:11:47,4.312
2025-06-28 05:44:59 UTC,119,2025-06-28 07:31:30,4.32
2025-06-28 05:45:28 UTC,120,2025-06-28 07:51:12,4.32
2025-06-28 05:45:57 UTC,121,2025-06-28 08:10:55,4.32
2025-06-28 05:46:25 UTC,122,2025-06-28 08:30:40,4.324
2025-06-28 06:13:35 UTC,123,2025-06-28 08:50:22,4.324
2025-06-28 06:14:04 UTC,124,2025-06-28 09:10:04,4.316
2025-06-28 06:44:04 UTC,125,2025-06-28 09:19:54,4.316
2025-06-28 06:44:33 UTC,126,2025-06-28 09:39:36,4.32
2025-06-28 07:14:34 UTC,127,2025-06-28 09:49:28,4.32
2025-06-28 07:15:03 UTC,128,2025-06-28 10:09:11,4.32
2025-06-28 07:45:06 UTC,129,2025-06-28 10:19:01,4.316
2025-06-28 07:45:34 UTC,130,2025-06-28 10:38:44,4.316
2025-06-28 08:15:36 UTC,131,2025-06-28 10:48:36,4.316
2025-06-28 08:16:05 UTC,132,2025-06-28 11:08:19,4.387
2025-06-28 08:46:05 UTC,133,2025-06-28 11:18:10,4.418
2025-06-28 08:46:34 UTC,134,2025-06-28 11:37:52,4.418
2025-06-28 09:16:35 UTC,135,2025-06-28 11:47:42,4.406
2025-06-28 09:17:04 UTC,136,2025-06-28 12:07:24,4.418
2025-06-28 09:47:07 UTC,137,2025-06-28 12:17:15,4.418
2025-06-28 09:47:35 UTC,138,2025-06-28 12:36:58,4.418
2025-06-28 10:17:37 UTC,139,2025-06-28 12:56:42,4.418
2025-06-28 10:18:06 UTC,140,2025-06-28 13:16:24,4.418
2025-06-28 10:48:08 UTC,141,2025-06-28 13:26:14,4.414
2025-06-28 10:48:37 UTC,142,2025-06-28 13:45:57,4.32
2025-06-28 11:18:38 UTC,143,2025-06-28 13:55:48,4.32
2025-06-28 11:19:07 UTC,144,2025-06-28 14:15:31,4.32
2025-06-28 11:49:10 UTC,145,2025-06-28 14:25:21,4.32
2025-06-28 11:49:38 UTC,146,2025-06-28 14:45:04,4.32
2025-06-28 12:20:52 UTC,147,2025-06-28 14:54:56,4.305
2025-06-28 12:21:21 UTC,148,2025-06-28 15:14:39,4.32
2025-06-28 12:51:22 UTC,149,2025-06-28 15:24:29,4.316
2025-06-28 12:51:50 UTC,150,2025-06-28 15:44:12,4.316
2025-06-28 15:24:12 UTC,151,2025-06-28 15:54:03,4.316
2025-06-28 15:24:41 UTC,152,2025-06-28 16:13:45,4.32
2025-06-28 15:25:10 UTC,153,2025-06-28 16:33:28,4.32
2025-06-28 15:25:38 UTC,154,2025-06-28 16:53:12,4.324
2025-06-28 15:26:07 UTC,155,2025-06-28 17:12:54,4.324
2025-06-28 15:26:36 UTC,156,2025-06-28 17:32:36,4.324
2025-06-28 15:27:05 UTC,157,2025-06-28 17:52:20,4.324
2025-06-28 15:27:33 UTC,158,2025-06-28 18:12:03,4.324
2025-06-28 15:54:45 UTC,159,2025-06-28 18:31:46,4.309
2025-06-28 15:55:14 UTC,160,2025-06-28 18:51:28,4.223
2025-06-28 16:25:15 UTC,161,2025-06-28 19:01:18,4.207
2025-06-28 16:25:44 UTC,162,2025-06-28 19:21:01,4.199
2025-06-28 16:55:46 UTC,163,2025-06-28 19:30:52,4.199
2025-06-28 16:56:14 UTC,164,2025-06-28 19:50:35,4.199
2025-06-28 19:28:37 UTC,165,2025-06-28 20:00:25,4.195
2025-06-28 19:29:05 UTC,166,2025-06-28 20:20:08,4.195
2025-06-28 19:29:34 UTC,167,2025-06-28 20:39:49,4.199
2025-06-28 19:30:03 UTC,168,2025-06-28 20:59:32,4.199
2025-06-28 19:30:32 UTC,169,2025-06-28 21:19:15,4.199
2025-06-28 19:31:00 UTC,170,2025-06-28 21:38:57,4.195
2025-06-28 19:31:29 UTC,171,2025-06-28 21:58:40,4.195
2025-06-28 19:31:58 UTC,172,2025-06-28 22:18:22,4.195
2025-06-28 19:59:16 UTC,173,2025-06-28 22:38:08,4.195
2025-06-28 19:59:45 UTC,174,2025-06-28 22:57:51,4.191
